sheet,cell,formula_or_literal,resolved_value
Day 1 - Match 1,A2,Hole,Hole
Day 1 - Match 1,B2,=Courses!C6,1
Day 1 - Match 1,C2,=Courses!D6,2
Day 1 - Match 1,D2,=Courses!E6,3
Day 1 - Match 1,E2,=Courses!F6,4
Day 1 - Match 1,F2,=Courses!G6,5
Day 1 - Match 1,G2,=Courses!H6,6
Day 1 - Match 1,H2,=Courses!I6,7
Day 1 - Match 1,I2,=Courses!J6,8
Day 1 - Match 1,J2,=Courses!K6,9
Day 1 - Match 1,A3,Par,Par
Day 1 - Match 1,B3,=Courses!C7,5
Day 1 - Match 1,C3,=Courses!D7,4
Day 1 - Match 1,D3,=Courses!E7,3
Day 1 - Match 1,E3,=Courses!F7,5
Day 1 - Match 1,F3,=Courses!G7,3
Day 1 - Match 1,G3,=Courses!H7,4
Day 1 - Match 1,H3,=Courses!I7,4
Day 1 - Match 1,I3,=Courses!J7,3
Day 1 - Match 1,J3,=Courses!K7,4
Day 1 - Match 1,K3,=SUM(B3:J3),35
Day 1 - Match 1,P3,"**For winners put in a ""1""","**For winners put in a ""1"""
Day 1 - Match 1,A4,Handicap,Handicap
Day 1 - Match 1,B4,=Courses!C8,11
Day 1 - Match 1,C4,=Courses!D8,5
Day 1 - Match 1,D4,=Courses!E8,9
Day 1 - Match 1,E4,=Courses!F8,13
Day 1 - Match 1,F4,=Courses!G8,15
Day 1 - Match 1,G4,=Courses!H8,7
Day 1 - Match 1,H4,=Courses!I8,1
Day 1 - Match 1,I4,=Courses!J8,17
Day 1 - Match 1,J4,=Courses!K8,3
Day 1 - Match 1,P4,=Matchups!K3,10
Day 1 - Match 1,Q4,=Matchups!L3,13
Day 1 - Match 1,R4,=Matchups!M3,18
Day 1 - Match 1,M5,Player,Player
Day 1 - Match 1,N5,Score,Score
Day 1 - Match 1,O5,Match Play,Match Play
Day 1 - Match 1,P5,=Results!C40,Long Drive
Day 1 - Match 1,Q5,=Results!D40,Closest to Pin
Day 1 - Match 1,R5,=Results!E40,Long Putt
Day 1 - Match 1,S5,=Results!F40,Secret Snowman
Day 1 - Match 1,T5,=Results!G40,Closest to Pin
Day 1 - Match 1,V5,1,1
Day 1 - Match 1,W5,2,2
Day 1 - Match 1,X5,3,3
Day 1 - Match 1,Y5,4,4
Day 1 - Match 1,Z5,5,5
Day 1 - Match 1,A6,=Matchups!C3,Mil
Day 1 - Match 1,B6,5,5
Day 1 - Match 1,C6,4,4
Day 1 - Match 1,D6,5,5
Day 1 - Match 1,E6,4,4
Day 1 - Match 1,F6,4,4
Day 1 - Match 1,G6,4,4
Day 1 - Match 1,H6,5,5
Day 1 - Match 1,I6,5,5
Day 1 - Match 1,J6,4,4
Day 1 - Match 1,K6,=SUM(B6:J6),40
Day 1 - Match 1,M6,=A6,Mil
Day 1 - Match 1,N6,=K6,40
Day 1 - Match 1,O6,=K44,1
Day 1 - Match 1,V6,"=IF($S$39=V$5,S6*V$5,"""")",
Day 1 - Match 1,W6,"=IF($S$39=W$5,S6*W$5,"""")",
Day 1 - Match 1,X6,"=IF($S$39=X$5,S6*X$5,"""")",
Day 1 - Match 1,Y6,"=IF($S$39=Y$5,S6*Y$5,"""")",
Day 1 - Match 1,Z6,"=IF($S$39=Z$5,S6*Z$5,"""")",
Day 1 - Match 1,AA6,"=IF(SUM(V6:Z6)=0,0,Setup!F$44/SUM(V6:Z6))",0
Day 1 - Match 1,A7,=Matchups!C4,6
Day 1 - Match 1,M7,=A7,6
Day 1 - Match 1,N7,=K7,0
Day 1 - Match 1,V7,"=IF($S$39=V$5,S7*V$5,"""")",
Day 1 - Match 1,W7,"=IF($S$39=W$5,S7*W$5,"""")",
Day 1 - Match 1,X7,"=IF($S$39=X$5,S7*X$5,"""")",
Day 1 - Match 1,Y7,"=IF($S$39=Y$5,S7*Y$5,"""")",
Day 1 - Match 1,Z7,"=IF($S$39=Z$5,S7*Z$5,"""")",
Day 1 - Match 1,AA7,"=IF(SUM(V7:Z7)=0,0,Setup!F$44/SUM(V7:Z7))",0
Day 1 - Match 1,A8,=Matchups!C5,John
Day 1 - Match 1,B8,7,7
Day 1 - Match 1,C8,5,5
Day 1 - Match 1,D8,3,3
Day 1 - Match 1,E8,6,6
Day 1 - Match 1,F8,3,3
Day 1 - Match 1,G8,4,4
Day 1 - Match 1,H8,4,4
Day 1 - Match 1,I8,3,3
Day 1 - Match 1,J8,5,5
Day 1 - Match 1,K8,=SUM(B8:J8),40
Day 1 - Match 1,M8,=A8,John
Day 1 - Match 1,N8,=K8,40
Day 1 - Match 1,O8,=K50,1
Day 1 - Match 1,V8,"=IF($S$39=V$5,S8*V$5,"""")",
Day 1 - Match 1,W8,"=IF($S$39=W$5,S8*W$5,"""")",
Day 1 - Match 1,X8,"=IF($S$39=X$5,S8*X$5,"""")",
Day 1 - Match 1,Y8,"=IF($S$39=Y$5,S8*Y$5,"""")",
Day 1 - Match 1,Z8,"=IF($S$39=Z$5,S8*Z$5,"""")",
Day 1 - Match 1,AA8,"=IF(SUM(V8:Z8)=0,0,Setup!F$44/SUM(V8:Z8))",0
Day 1 - Match 1,A9,=Matchups!C6,7
Day 1 - Match 1,M9,=A9,7
Day 1 - Match 1,N9,=K9,0
